coe1,coe2,coe3,coe4,coe5,coe6,coe7,coe8,coe9,coe10,coe11,coe12,coe13
-710.5565,0,0,0,0,0,0,0,0,0,0,0,0
-710.5565,0,0,0,0,0,0,0,0,0,0,0,0
-547.7293,58.423172,-13.760821,33.484177,-7.5089083,-0.751401,-6.0385084,3.3571599,12.561382,-14.858431,6.6236825,2.0686088,-9.008942
-431.29337,64.970245,-25.328407,37.369225,-14.686289,4.484373,-5.799687,7.137848,17.723553,-17.007643,8.995454,-1.9251773,-2.4049678
-375.40033,66.27815,-25.174992,33.393127,-15.222846,7.3967485,-8.221536,9.074163,17.91906,-19.958797,4.853339,-1.9422779,-3.5973525
-354.61298,63.569237,-24.934734,31.516308,-10.85595,12.407019,-8.924845,4.6740117,17.593578,-22.133076,4.9048924,0.62641084,-5.1183605
-341.6211,62.316696,-23.499723,34.90811,-10.107894,8.390214,-10.530186,-2.7109132,16.055695,-21.73378,6.1424246,1.7998023,-4.319043
-324.44635,65.023026,-23.75603,34.493164,-16.021141,3.573009,-10.12734,-1.529085,15.337017,-21.317274,4.9968224,-2.0414503,-6.2064033
-308.11185,62.773712,-25.183044,37.105354,-16.389954,4.138745,-13.362253,-1.0155873,21.7192,-18.5551,8.854057,-3.6696153,-6.6832795
-288.93787,60.27825,-29.086596,36.48736,-12.517258,4.216901,-6.935974,1.5876129,20.712854,-19.316105,6.461625,-0.8120465,-5.4137154
-267.91684,59.029488,-27.544289,32.36763,-14.985379,9.863645,-6.16387,-3.1209328,12.84126,-20.363214,1.6430004,1.3368565,-1.3428459
-261.4774,58.71296,-23.521652,33.914314,-16.360731,5.447032,-9.280188,-6.038395,14.129419,-20.552118,2.939929,-2.18451,-6.0077243
-257.79816,60.229614,-26.143486,35.38404,-16.711676,0.69192934,-11.7881155,-8.223306,18.271889,-22.438732,8.280739,2.0142145,-4.562378
-250.61237,62.813538,-26.917025,30.373333,-21.109062,1.5908164,-9.580043,-1.8232675,17.76543,-19.523722,3.4918246,-2.062459,-8.507208
-246.84918,65.04561,-25.09559,33.274544,-15.539237,3.320137,-4.519418,1.9572374,16.17497,-14.447439,3.4139454,-1.9655268,-8.517025
-246.52826,65.629135,-20.64967,39.200607,-8.26585,10.335815,-6.224163,1.7569702,15.21564,-16.012287,3.6955662,3.2491946,-4.1863256
-248.01785,64.15603,-18.624321,40.005127,-9.555763,7.6825337,-9.25183,-2.2121508,21.026134,-11.30641,2.5588384,1.8895322,-3.2239573
-249.96248,67.1741,-19.27508,43.74314,-11.748825,3.0471935,-5.191927,2.358153,26.022655,-7.138382,8.192717,0.9480401,-0.48932755
-246.05934,70.57144,-14.406939,45.280067,-11.057909,0.3409248,-6.165154,4.2510614,26.19462,-12.335438,9.605866,0.65739775,-0.2701229
-251.32974,70.09666,-14.514704,40.159584,-12.820751,6.3498325,-6.0820503,-1.3698056,21.406311,-20.04676,7.7743006,-4.626634,-4.6395383
-250.2934,68.399445,-20.241879,38.149223,-13.529326,8.016672,-1.2574463,-3.1459217,23.716564,-21.304768,7.927306,-3.8893864,-7.1919436
-242.75484,69.92223,-21.542425,38.698547,-7.23181,9.2344,-1.1849082,-2.2250936,29.33276,-19.427988,6.824749,1.0625994,-0.6387323
-246.939,68.84919,-19.354015,37.32419,-6.700031,8.707513,-5.127026,0.9033363,25.0731,-14.379276,11.316141,4.726504,0.6118158
-250.17029,69.75405,-20.437233,41.758728,-7.2819996,5.820658,-3.8851707,4.478958,23.278759,-14.913076,14.087049,1.9976411,-5.7552633
-250.84392,69.48654,-17.238876,41.567024,-12.258108,7.2401505,0.35332966,-0.6392569,19.761238,-16.24641,15.629248,3.9126668,-3.2106643
-247.4453,67.572716,-18.228598,39.424328,-9.799679,11.039606,-1.9637238,-3.1732407,19.128513,-14.630293,15.463421,5.7913356,-0.84868395
-246.60115,70.13341,-19.39642,40.45323,-12.005451,10.3286915,-4.4208727,0.35244197,20.753008,-13.6733055,13.074463,5.39732,-0.51525086
-244.45709,71.88591,-21.807339,42.567745,-10.46678,8.237054,-3.0185614,1.3373058,24.49053,-16.546932,13.54162,4.7236605,2.9286523
-242.82529,72.59889,-21.824463,43.418793,-7.9695625,5.434502,-4.404523,2.7644196,26.737968,-19.010757,10.9099655,3.2143698,0.37993854
-244.75641,68.41736,-19.721882,45.63291,-9.594649,5.4411516,-6.3105516,2.3342967,25.397717,-19.623669,7.248912,1.8158216,2.668213
-250.81264,66.40195,-18.974674,47.48047,-7.2498055,11.401278,-7.7441955,-2.5896776,19.336288,-14.816935,8.367738,1.7948389,2.8295746
-251.75383,68.54103,-17.445318,42.953247,-6.1266603,11.645617,-4.1362476,1.6951979,17.51348,-17.911953,8.808267,0.50023687,-0.22677302
-242.66821,72.88139,-20.128986,41.24745,-12.229115,6.500206,-2.5550654,1.4998524,18.182095,-19.541286,12.528776,10.94713,-0.016874671
